確定事項ファイル,,,,,,
更新日時：2026年9月23日 21:39,,,,,,
ー,,,,,,
D1,本文書の目的,,,,,
本文書に記載されている内容は、1)確定事項（1-1:依頼者からの与件、1-2:セッションを重ねて検討をすすめた中で確定した事項・値）、2)設計前提条件（未確定ではあるが設計をすすめるための前提として仮設定した事項・値。交渉により変更可）であり、装置設計をするうえでの拠所として参照・使用する。確定事項には採用すべき内容だけでなく、適用できないことが確認できたため検討を二度と実施してはいけない内容も記載する。,,,,,,
ー,,,,,,
D2,キー語彙表,,,,,
系統,語彙,,,,,
A,|部屋|梁|収納部|CSP|SC|PJ|LP|昇降機構|駆動|制御|電源配線|取付|図面|評価|照明|,,,,,
B,|座標系|寸法|質量|干渉|安全|意匠|メンテ|静粛|動作時間|入手性|コスト|分類|加工|,,,,,
ー ,,,,,,
D3,記載ルール,,,,,
,項目,記載内容,備考,,,
D3-1,ID,確定事項/前提条件のIDを記載する,前提条件→確定事項に切り替える場合は先頭の文字列のみ変更する。それ以外は項目の改訂を行ってもIDは維持する,,,
D3-2,キー,D2の語彙からA系統1語以上・B系統1語以上を |キー|キー| の書式で記載する,語彙の追加は依頼主の承認を経る,,,
D3-3,項目,確定した事項を記載する,,,,
D3-4,確定値／前提条件値,確定事項：確定した値 を記載する。前提条件：設計する上での前提条件値 を記載する,,,,
D3-5,status,確定事項：与件／実測／カタログ／計算／選定／却下 の6値とする。第7の値を置かない。前提条件：仮設定／計算 の2値とする。第3の値を置かない,,,,
D3-6,出典ID,出所となるまとめファイルIDを記載する。まとめを経ずに登録した行は出所となる資料名または取得方法を記載する。statusが計算の行は入力とした確定事項IDを併記する,改訂のときはIDの書き換えではなく追記とする,,,
D3-7,備考,補足事項がある場合に記載する,,,,
,,,,,,
D4,確定事項,,,,,
ID,キー,項目,確定値,status,出典ID,備考
D00-001,|部屋|梁|収納部|座標系|,座標系定義：x（左右方向）,視聴席（LP）からスクリーン（SC）を見たとき、左手側の壁の内面を原点とする。(-)原点→右向き(+),与件,与件,原点のある壁を左壁と呼ぶ
D00-002,|部屋|梁|収納部|座標系|,座標系定義：d（前後方向）,SC側の壁の内面を原点とする。(-)原点→LP側(+),与件,与件,原点のある壁を前壁と呼ぶ
D00-003,|部屋|梁|収納部|座標系|,座標系定義：h（高さ方向）,床面を原点とする。(-)原点→天井(+),与件,与件,2609211252版で項目の誤記（左右方向）を高さ方向に修正
D00-004,|部屋|梁|収納部|CSP|SC|PJ|LP|昇降機構|寸法|,単位,個別に記載のない数値の単位はすべてcmとする,与件,与件,
D00-005,|照明|干渉|,照明の配光角,1/2ビーム角118°・1/2照度角67°,カタログ,カタログ値,
D00-006,|照明|寸法|,照明の器具寸法,器具径φ11.4,カタログ,カタログ値,
D00-007,|梁|安全|,梁の種別,構造材,与件,仕様書,２階の床を支持する構造用梁
D00-008,|梁|安全|,梁の材種樹種,構造用集成材EW・樹種WW/RW,与件,仕様書,
D00-009,|梁|安全|,梁の加工可否,切り欠き・貫通穴は不可,与件,与件,
D00-010,|電源配線|意匠|,電源の確保,梁エリア付近に電源はない,実測,実測,
D01-001,|LP|座標系|,LP中心（横ずれの基準とするx位置）,x=169,与件,M01-004,依頼主回答。部屋.xlsx視聴位置のL側左右方向132.5とR側左右方向205.5の中点
D02-001,|LP|座標系|,LPの目の高さ（視線・正対の基準点）,d=270／h=100,与件,M02-002,依頼主回答。部屋.xlsx視聴位置の高さ方向100を目の高さとする
,,,,,,
D5,設計前提条件,,,,,
ID,キー,項目,前提条件値,status,出典ID,備考
A00-001,|収納部|CSP|昇降機構|寸法|意匠|,収納時の機構・CSP下端の下限寸法,h=245,仮設定,-,寸法は交渉可
A00-002,|昇降機構|分類|,昇降機構の方式,スコットラッセルリンク機構,仮設定,-,まずスコットラッセルで基本設計の成立性の結論をだす。その他の方式の検討開始はそれ以降とする
A00-003,|SC|寸法|座標系|,SCビュー中心（映像面中心）の位置,x=146／d=25／h=98.75,仮設定,-／M02-004,h=99→98.75：スクリーン製品寸法図（ケース高さ13.5＋上マスク75.5）・天井直付け（ケース上面h=250）・スライディングブラケット想定（依頼主回答。スクリーン未購入）
A00-004,|PJ|寸法|座標系|,PJレンズ中心の位置,x=146／d=305／h=217,仮設定,-,
A00-005,|梁|安全|,梁の加工可否,梁へのねじ止め（下穴加工は可）サイズはM6までのこと,仮設定,-,サイズは交渉可
A00-006,|照明|干渉|,配光への干渉,収納時は機器・CSPは配光に干渉しないこと。動作中・使用時は干渉可,仮設定,-,
A00-007,|電源配線|意匠|,電源の確保,依頼主が延長ケーブルを引き回して確保する,仮設定,-,
A02-001,|CSP|昇降機構|座標系|寸法|,CSPの配置の基準（後面下端の位置）,x=138.55（CSP中心）／後面下端 d=45.5,計算,M02-002／M05-003／入力 A05-001・D01-001・機器一覧.csv（CSP幅57.1）・部屋.xlsx（梁2左面 x=170）,梁2左面（x=170）からA05-001の厚さだけ離しLP中心D01-001への横ずれを最小とする。音響の判定はA05-002による。d方向は梁領域前端に寄せる
A02-002,|CSP|座標系|,CSPのチルト角,下向き20.93°。昇降中も一定,計算,M02-002／入力 A00-003・A00-004・D02-001・A02-001,前面の法線をLPの目に向けた値
A02-003,|CSP|収納部|寸法|,収納位置（回転中心＝後面下端の高さ）,h=253.38,計算,M02-002・M06-004／入力 A00-001・A02-001・A02-002,収納位置の窓（最下点A00-001〜天井）の中央。窓の幅1.48。交渉可
A02-004,|CSP|干渉|寸法|,使用位置（回転中心＝後面下端の高さ）,h=176.74,計算,M02-002／入力 A00-003・A00-004・D02-001・A02-001・A02-002,最下点h=169.10がPJ光路上端に接する位置。クリアランス0。機構は含まない
A02-005,|昇降機構|寸法|,ストローク（回転中心の移動量）,76.64,計算,M02-002・M06-004／入力 A02-003・A02-004,チルトしたまま鉛直に平行移動。交渉可
A05-001,|昇降機構|寸法|,梁2側の機構厚さ（片側1組）,2.9,仮設定,M05-003,層構成の仮定（リニアガイド13＋リンク5×2＋ワッシャ3＋ブラケット3 mm）。ステップ4で案内部材が変われば見直す
A05-002,|CSP|LP|評価|寸法|,CSPの水平ずれ角の許容値,9°（LPから見た水平面投影角）。9〜19°は依頼主判断,仮設定,M05-003,腹話術効果で音声の統合が崩れる限界の直接測定値（音楽訓練あり9°・訓練なし19°）の訓練あり側。文献はPMC6538976の表1
A06-001,|駆動|昇降機構|分類|入手性|,駆動源の種別と形式,電動リニアアクチュエータ（DC・台形ねじ・セルフロック）,仮設定,M06-002,②自作送りねじ・③ワイヤ巻上げは候補に残すが軸としない。交渉可
A06-002,|駆動|昇降機構|寸法|分類|,アクチュエータの配置と型式,片側1本ずつ・インライン型,仮設定,M06-003,横桁は収納時の配光（A00-006）に当たるため片側1本。高さの窓（h≈254.6〜270）の制約からインライン型を条件とする。交渉可
A06-003,|駆動|昇降機構|安全|,停電・電源断時の保持,セルフロック（静的保持力の明記）を必須とする,仮設定,M06-002,保持力が収納端の必要推力を余裕をもって上回ること（a' 269 N/本・a'' 前 305 N/本。K011。安全率未込み）。機械的落下防止はG3で別途設ける。交渉可
A07-001,|CSP|昇降機構|意匠|寸法|,止まっているときのC点の高さずれ許容値,5mm以下（収納端・使用端の両方）,仮設定,M06-004,依頼主の意匠判断。交渉可
