まとめ履歴,,,,
作成日時：2026年9月5日 00:57,,,,
ー,,,,
1,はじめに,,,
1-1.,本文書の目的,まとめファイル群への索引。過去の検討を参照するとき、どのセッションのまとめファイルを開けばよいかを特定する,,
1-2.,本文書の読み方,通読しない。列を検索し、該当する行のみを引く,,
1-3.,本文書の更新,毎セッション末に3節へ当該セッションの検討項目を追記する。過去の行を書き換えない,,
,,,,
2,記載ルール,,,
,項目,記載内容,備考,
2-1.,まとめファイルID,まとめファイル4-4(1)を転記する,,
2-2.,お題目,まとめファイル4-4(2)を転記する。文言を変えない,,
2-3.,検索キーワード,まとめファイル4-4(3)を転記する,,
2-4.,生じた確定事項ID,まとめファイル4-4(9)のうち確定事項IDを転記する,無い場合は「-」を記載する,
2-5.,生じた未確定事項ID,まとめファイル4-4(9)のうち未確定事項IDを転記する,無い場合は「-」を記載する,
,,,,
3,履歴,,,
まとめファイルID,お題目,検索キーワード,生じた確定事項ID,生じた未確定事項ID
S01-001,プロジェクト資料の読み込みと与件の確認,部屋寸法 梁 掘り込み 座標基準 単位未記載,-,-
S01-002,ルール文書群の読み込みと、矛盾・誤記の摘出,参照ズレ 欠番 用語ゆれ 適用範囲 3-3申告,-,-
S01-003,確定事項の検索性設計（キー語彙表と節構造）,語彙統制 パイプ囲み 区切り行 二段抽出 断面,-,-
S01-004,滞留量指標の再設計,文脈重量 累積和 遡及集計 計上対象 打ち切り判断,-,-
S01-005,やり忘れ防止トリガーの設計,相乗り 構造的強制 事後検出 自発性依存 作業の消去,-,-
S01-006,ルール改訂の確定と実施計画,実施待ち 原文喪失 再読必要 分割判断 次回冒頭,-,-
S02-001,GitHubリポジトリのディレクトリ運用の確立とまとめファイル群の配置,ディレクトリ生成 スマホ操作 パス編集 空フォルダ不可 初回配置,-,-
S02-002,ルール改訂ルール・出力ルールの改訂（P01-004、P01-003）,欠番是正 差分検算 繰上げ 教訓ファイル削除 存在しない節,-,-
S02-003,成果物受け渡し経路によるファイル名変質の切り分け,アンダースコア消失 経路依存 反証実験 一次観察 保存方法,-,-
S02-004,最初に読むことの改訂（P01-001）と未申告条文の混入,滞留量整備 台帳一本化 手順飛ばし 起案 合意なき文言,-,-
S02-005,禁止語句検査の不通過と呼称の統一,機械検査 個人特定 一括置換 工程順不整合 事後検査,-,-
S03-001,最初に読むこと改訂の完結と未申告条文の処置,案A採用 手続き復帰 削除して出し直し 教訓ルート 配置保留,-,-
S03-002,教訓のルール反映と条文肥大の抑止,理由の置き場 外形判定 契機の前倒し raw優先 引き渡し手段,-,-
S03-003,文書体系へのルール文書登録と版ずれの決着,配置一本化 KB集約 注記削除 規範の吸収 呼称統一,-,-
