まとめ履歴,,,,
作成日時：2026年9月4日 07:53,,,,
ー,,,,
1,はじめに,,,
1-1.,本文書の目的,まとめファイル群への索引。過去の検討を参照するとき、どのセッションのまとめファイルを開けばよいかを特定する,,
1-2.,本文書の読み方,通読しない。列を検索し、該当する行のみを引く,,
1-3.,本文書の更新,毎セッション末に3節へ当該セッションの検討項目を追記する。過去の行を書き換えない,,
,,,,
2,記載ルール,,,
,項目,記載内容,備考,
2-1.,まとめファイルID,まとめファイル4-4(1)を転記する,,
2-2.,お題目,まとめファイル4-4(2)を転記する。文言を変えない,,
2-3.,検索キーワード,まとめファイル4-4(3)を転記する,,
2-4.,生じた確定事項ID,まとめファイル4-4(9)のうち確定事項IDを転記する,無い場合は「-」を記載する,
2-5.,生じた未確定事項ID,まとめファイル4-4(9)のうち未確定事項IDを転記する,無い場合は「-」を記載する,
,,,,
3,履歴,,,
まとめファイルID,お題目,検索キーワード,生じた確定事項ID,生じた未確定事項ID
S01-001,プロジェクト資料の読み込みと与件の確認,部屋寸法 梁 掘り込み 座標基準 単位未記載,-,-
S01-002,ルール文書群の読み込みと、矛盾・誤記の摘出,参照ズレ 欠番 用語ゆれ 適用範囲 3-3申告,-,-
S01-003,確定事項の検索性設計（キー語彙表と節構造）,語彙統制 パイプ囲み 区切り行 二段抽出 断面,-,-
S01-004,滞留量指標の再設計,文脈重量 累積和 遡及集計 計上対象 打ち切り判断,-,-
S01-005,やり忘れ防止トリガーの設計,相乗り 構造的強制 事後検出 自発性依存 作業の消去,-,-
S01-006,ルール改訂の確定と実施計画,実施待ち 原文喪失 再読必要 分割判断 次回冒頭,-,-
S02-001,GitHubリポジトリのディレクトリ運用の確立とまとめファイル群の配置,ディレクトリ生成 スマホ操作 パス編集 空フォルダ不可 初回配置,-,-
S02-002,ルール改訂ルール・出力ルールの改訂（P01-004、P01-003）,欠番是正 差分検算 繰上げ 教訓ファイル削除 存在しない節,-,-
S02-003,成果物受け渡し経路によるファイル名変質の切り分け,アンダースコア消失 経路依存 反証実験 一次観察 保存方法,-,-
S02-004,最初に読むことの改訂（P01-001）と未申告条文の混入,滞留量整備 台帳一本化 手順飛ばし 起案 合意なき文言,-,-
S02-005,禁止語句検査の不通過と呼称の統一,機械検査 個人特定 一括置換 工程順不整合 事後検査,-,-
S03-001,最初に読むこと改訂の完結と未申告条文の処置,案A採用 手続き復帰 削除して出し直し 教訓ルート 配置保留,-,-
S03-002,教訓のルール反映と条文肥大の抑止,理由の置き場 外形判定 契機の前倒し raw優先 引き渡し手段,-,-
S03-003,文書体系へのルール文書登録と版ずれの決着,配置一本化 KB集約 注記削除 規範の吸収 呼称統一,-,-
S04-001,記載ルールの置き場所の決定と、発火条項の新設,まとめルール 確定事項ファイル 記載ルール 発火条項 生存量,-,-
S04-002,まとめルール改訂12件の突合と、適用先の振り替え,まとめルール 改訂一覧 突合 振り替え 波及検査,-,-
S04-003,まとめルールの重複条項の解消と各記載ルール節の整備,まとめルール 重複解消 記載ルール節 確定事項ファイル 未確定事項ファイル まとめ履歴,-,-
S04-004,まとめルール4-6の重複記載禁止条項の再設計,まとめルール 成果物 評価 観点 重複記載,-,-
S04-005,滞留量の実測とセッション継続の判断,滞留量 生存量 文脈脱落 ターン別一覧 bash_log,-,-
S05-001,出力ルールの改訂（実現不能条文の修正とcsvのBOM対応）,出力ルール BOM 文字コード 実現不能条文 承認タイミング,-,-
S05-002,確定事項・未確定事項ファイルへのキー語彙表とキー列の追加,キー語彙表 キー列 検索性 パイプ囲み 部分一致抽出,-,-
S05-003,statusの6値化、出典IDの充填、および出典IDを書けるようにするための規程改訂,status 出典ID 与件 実測 仕様書VI-1 呼称寸法,-,-
S05-004,引き継ぎファイルの軽量化と、未確定事項5件の起票,引き継ぎファイル 限定列挙 ID維持 表の統合 転記の連鎖,-,-
S05-005,滞留量の実測と、未配置チェックの運用,滞留量 生存量 未配置チェック 承認省略 冒頭の軽量化,-,-
S06-001,ストレージ体系の単一原本モデルへの再定義,単一原本 配布物 未配置チェック 文書体系 まとめルール,-,-
S06-002,文書体系のID書式への aa・bbb の定義追加,ID書式 通し番号 起票セッション番号 文書体系 確定事項ファイル,-,-
S06-003,事前ルール整備の終了時期の決定,ルール整備 終了時期 装置設計 試験作図 滞留量,-,-
S07-001,承認済みを根拠に検算を省略しない旨の条文化,検算 6-6 最初に読むこと 出力ルール5-5 波及検査,-,-
S07-002,Claude行動指針への条番号付与,条番号 行動指針 参照可能性 最初に読むこと 4-3,-,-
S07-003,設置スペース3面図の作成と作図仕様の運用検証,三面図 F001 出力ルール7 座標系 部屋.xlsx カーテン,D00-026 D00-027,U07-001
S07-004,成果物・ツールの保管場所の規定,保管場所 出力ルール4-5 4-6 DB/ツール 文書体系,-,-
S07-005,作図ツールの新設と保管,室内三面図.py 定義部 写し 再生成 GH/ツール,-,-
