ツールリスト
更新日時：2026年9月12日 03:35,,,,,,,
,,,,,,,
1,はじめに,,,,,,
1-1.,本文書の目的,DB/ツールに保管されたツールの一覧と用途・入出力の管理文書,,,,,
1-2.,参照の時点,出力ルール4-6による,,,,,
1-3.,実体との関係,ツールの実体はDB/ツールに保管する。本文書は所在と用途のみを記載しコードを転記しない,,,,,
,,,,,,,
2,記載ルール,,,,,,
,項目,記載内容,備考,,,,
2-1.,ID,ツールのIDを記載する,T＋3桁の通し番号とし、プロジェクトを通して一意とする,,,,
2-2.,粒度,ツール1本につき1行とする,,,,,
2-3.,状況,`現行` と `欠番` の2値とする。第3の値を置かない,廃止したツールの行を削除しない。状況を `欠番` に改める,,,,
2-4.,IDの再利用,一度採番したIDは、当該ツールを廃止した場合も再利用しない,欠番の行が残ることで過去の参照が空を切らない,,,,
2-5.,ファイル名,DB/ツールに保管した実ファイル名を、プレフィクスを含めて記載する,改訂したときは最新版のファイル名に改める,,,,
2-6.,用途,そのツールが何を出力するために使うものかを1行で記載する,,,,,
2-7.,入力,ツールが必要とする入力を記載する,,,,,
2-8.,出力,ツールが生成する成果物の形式を記載する,,,,,
2-9.,依存,実行に必要な外部ライブラリまたはコマンドを記載する,無いときは `なし` と記載する,,,,
2-10.,区切り文字,各欄に半角カンマを使用しない,,,,,
2-11.,備考,実行上の注意など他の欄に収まらない事項を記載する,無いときは空欄とする,,,,
,,,,,,,
3,データ行,,,,,,
ID,ファイル名,用途,入力,出力,依存,状況,備考
T001,2609060728_T001_滞留量集計.py,bash_log.tsvへのターン開始行と実行行の追記および滞留量の総合計・生存量・行数の算出,第1引数にコマンド（open／log／report）。logは第2引数以降に発生元・終了コード・出力ファイル・呼出文字列,openは標準出力にターン番号を1行。reportは標準出力に 滞留量 生存量 行数 を空白区切りで1行。logは出力なし,なし,現行,bash_log.tsvの様式は最初に読むこと［具体的な行動］による
T002,2609060754_T002_室内三面図.py,設置スペースとCSP設置位置の平面図・側面図・正面図をsvgで生成する,第1引数にタイムスタンプ YYMMDDhhmm・第2引数に作成日時・第3〜第5引数に図番3つ,/mnt/user-data/outputs へ svg3点,なし,現行,実行前に定義部と確定事項ファイルD00-001〜038を突き合わせること（6-6）
T003,2609102138_T003_GH取得.py,GH上の文書の最新版解決と節抽出およびバイト数計測と表示,第1引数にフォルダ名 第2引数に本体名の一部 第3引数に節番号（省略可） 第4引数に承認免除の根拠条項（省略可。指定時は生存量判定を行わない）,標準出力にファイル名とバイト数。5-8を満たすとき、または第4引数の指定があるときは当該節の本文,git,現行,表示前にバイト数を計測する。台帳追記は行わない
T004,2609102138_T004_bash実行ラッパ.py,bashで実行する処理をラップし標準出力の退避・表示・終了コード捕捉・台帳追記を一括で行う,第1引数に実行するツールまたはスクリプトのパス 第2引数以降にその引数,標準出力に実行結果。台帳へ1行追記,なし,現行,T001のopenとreportは本ツールを経由しない
T005,2609120335_T005_図枠ライブラリ.py,図の共通要素（見出しブロック・座標軸記号・寸法線・引出線・凡例・出典欄・未確定ラベル）をSVG断片として生成する,関数呼び出しによる。header()に図番と図題と作成日時と投影と単位 / axes()に軸記号と原点表記 / dim()に始終点と確定か仮置きかの区分 / legend()に凡例行,SVG文字列。ファイル出力は行わない,なし,現行,出力ルール7-1〜7-6を満たす形で生成する。機構や部屋の形状は生成しない。呼び出し側スクリプトは/tmpに作成しT004経由で実行する
